date,open,high,low,close,volume
1518170354789,7789.9,8230.46,7789.9,8230.46,148.475418
1518170414789,8230.46,8317.74,8230.45,8317.74,91.494282
1518170474789,8304.0,8369.0,8304.0,8350.0,131.872916
1518170534789,8346.5,8380.0,8330.0,8380.0,84.544616
1518170594789,8379.0,8390.0,8348.0,8360.02,112.940304
1518170654789,8350.04,8389.0,8348.0,8348.13,88.138218
1518170714789,8350.0,8369.99,8300.0,8338.43,74.70093
1518170774789,8320.02,8338.43,8320.0,8320.0,59.960108
1518170834789,8320.0,8339.96,8250.0,8272.5,81.124785
1518170894789,8289.94,8295.0,8250.0,8283.23,21.937305
1518170954789,8266.02,8278.63,8250.0,8277.0,21.329692
1518171014789,8251.01,8270.0,8250.0,8251.18,38.903133
1518171074789,8251.19,8269.78,8250.0,8265.0,39.808421
1518171134789,8265.0,8265.0,8240.0,8250.0,41.75596
1518171194789,8250.0,8263.0,8215.78,8232.38,17.207068
1518171254789,8232.3,8250.0,8230.02,8250.0,22.42092
1518171314789,8235.05,8255.0,8235.05,8250.69,26.116253
1518171374789,8250.69,8262.0,8247.94,8260.0,25.566263
1518171434789,8260.0,8261.12,8250.0,8259.0,25.457418
1518171494789,8251.03,8260.0,8250.0,8250.19,19.774771
1518171554789,8251.99,8261.11,8250.0,8259.87,17.198204
1518171614789,8259.92,8263.0,8251.0,8251.03,17.348118
1518171674789,8251.03,8253.99,8235.0,8235.0,48.103581
1518171734789,8235.0,8239.5,8227.08,8238.92,20.752394
1518171794789,8235.19,8240.0,8229.52,8229.52,18.255615
1518171854789,8231.13,8234.98,8200.0,8214.5,68.173363
1518171914789,8211.09,8214.5,8195.1,8210.0,48.824701
1518171974789,8201.0,8210.0,8198.0,8200.0,14.852949
1518172034789,8198.0,8198.0,8180.0,8180.5,24.858744
1518172094789,8179.8,8183.6,8166.0,8183.6,20.815883
1518172154789,8188.95,8200.29,8180.06,8200.29,46.79498
1518172214789,8185.06,8202.76,8185.06,8191.0,13.626244
1518172274789,8191.0,8200.0,8190.89,8190.99,14.801009
1518172334789,8190.99,8200.29,8180.0,8180.04,23.468054
1518172394789,8182.63,8200.29,8180.0,8192.1,29.812152
1518172454789,8193.0,8220.0,8192.75,8210.0,31.802
