,timestamp,open,high,low,close,volume
0,1674652260000,22694.74,22703.75,22690.0,22698.2,168.181
1,1674652320000,22698.2,22699.07,22683.0,22684.17,152.20073
2,1674652380000,22685.01,22700.2,22680.0,22696.08,188.53882
3,1674652440000,22696.08,22699.21,22674.96,22675.22,190.45984
4,1674652500000,22675.22,22688.77,22674.87,22685.73,102.70158
5,1674652560000,22685.03,22695.0,22683.63,22692.21,154.02781
6,1674652620000,22692.21,22693.0,22678.19,22681.94,112.88727
7,1674652680000,22682.7,22685.76,22674.78,22683.23,86.59971
8,1674652740000,22682.75,22684.47,22674.41,22683.62,103.43893
9,1674652800000,22683.62,22691.95,22681.14,22690.94,104.80365
10,1674652860000,22690.95,22700.2,22689.57,22698.19,99.19689
11,1674652920000,22697.73,22699.32,22689.61,22690.51,85.50057
12,1674652980000,22691.57,22691.58,22674.08,22677.07,134.78022
13,1674653040000,22676.23,22685.25,22673.8,22682.81,98.51401
14,1674653100000,22682.81,22684.96,22666.61,22669.59,182.75926
15,1674653160000,22669.59,22671.62,22662.68,22669.59,122.86276
16,1674653220000,22669.59,22679.17,22667.66,22674.75,77.86578
17,1674653280000,22674.75,22681.97,22671.88,22680.6,135.73435
18,1674653340000,22679.65,22681.0,22675.68,22679.34,91.93681
19,1674653400000,22680.22,22689.98,22666.06,22672.72,161.64895
20,1674653460000,22672.71,22689.0,22665.0,22684.43,178.4916
21,1674653520000,22684.43,22689.0,22677.89,22679.0,156.87572
22,1674653580000,22678.7,22688.94,22678.04,22679.18,108.15504
23,1674653640000,22680.02,22681.49,22670.0,22670.95,159.05009
24,1674653700000,22670.01,22671.84,22645.16,22651.45,267.51036
25,1674653760000,22651.45,22653.44,22633.71,22647.03,300.22894
26,1674653820000,22648.0,22650.61,22632.04,22632.51,212.20977
27,1674653880000,22632.51,22635.21,22616.16,22630.2,352.3498
28,1674653940000,22630.88,22651.99,22627.39,22650.85,225.62094
29,1674654000000,22649.36,22651.13,22621.89,22632.89,218.9297
30,1674654060000,22631.71,22643.51,22626.88,22642.03,195.43897
31,1674654120000,22642.04,22647.09,22615.9,22628.1,244.24663
32,1674654180000,22628.1,22634.8,22624.5,22631.82,145.71754
33,1674654240000,22632.88,22647.44,22626.48,22642.03,130.64793
34,1674654300000,22642.03,22644.4,22633.67,22642.81,121.165
35,1674654360000,22642.81,22645.38,22628.5,22641.91,177.74361
36,1674654420000,22641.91,22642.92,22618.21,22622.67,153.85416
37,1674654480000,22623.34,22631.0,22618.14,22627.29,231.12511
38,1674654540000,22627.29,22636.28,22618.67,22622.62,200.08273
39,1674654600000,22623.7,22624.65,22601.72,22609.96,352.7638
40,1674654660000,22609.79,22611.18,22565.01,22592.57,579.98794
41,1674654720000,22592.57,22610.16,22587.86,22596.25,234.02048
42,1674654780000,22595.13,22608.72,22592.96,22603.79,179.34609
43,1674654840000,22603.79,22610.88,22602.02,22607.98,126.81703
44,1674654900000,22607.51,22622.58,22605.64,22617.34,164.5251
45,1674654960000,22617.34,22618.05,22592.48,22595.47,293.63502
46,1674655020000,22594.3,22602.0,22573.12,22589.19,258.67318
47,1674655080000,22589.7,22599.37,22583.19,22589.56,202.96196
48,1674655140000,22589.7,22599.85,22583.71,22595.72,153.36662
49,1674655200000,22595.08,22606.63,22593.49,22606.34,215.30415
50,1674655260000,22605.21,22607.34,22564.07,22584.6,378.94461
51,1674655320000,22584.6,22600.65,22584.6,22597.62,251.59009
52,1674655380000,22598.46,22600.16,22582.93,22586.64,192.66448
53,1674655440000,22586.64,22591.18,22565.64,22567.78,229.52921
54,1674655500000,22567.22,22581.05,22538.0,22559.79,607.96815
55,1674655560000,22559.79,22565.72,22536.96,22557.6,339.92222
56,1674655620000,22557.6,22578.81,22550.45,22576.57,254.67265
57,1674655680000,22576.57,22601.2,22574.36,22599.7,329.16811
58,1674655740000,22599.27,22611.61,22593.54,22597.09,304.85757
59,1674655800000,22597.87,22598.36,22584.93,22585.11,247.50868
60,1674655860000,22585.97,22597.16,22582.71,22591.82,151.32577
61,1674655920000,22591.82,22593.25,22576.5,22586.69,127.96006
62,1674655980000,22587.27,22592.82,22581.18,22582.63,123.93421
63,1674656040000,22582.57,22594.85,22581.0,22589.0,162.13647
64,1674656100000,22589.87,22614.38,22586.59,22606.79,237.27045
65,1674656160000,22607.47,22618.0,22601.22,22615.49,216.70106
66,1674656220000,22615.16,22625.73,22605.89,22611.01,308.9188
67,1674656280000,22611.84,22615.16,22595.34,22596.51,203.3687
68,1674656340000,22596.51,22604.4,22589.11,22601.85,191.05046
69,1674656400000,22601.16,22603.09,22590.31,22590.9,160.9212
70,1674656460000,22591.64,22592.24,22576.12,22583.85,154.72537
71,1674656520000,22583.47,22592.49,22573.04,22577.4,167.06632
72,1674656580000,22576.59,22583.08,22574.77,22581.73,115.72092
73,1674656640000,22582.15,22596.35,22581.33,22592.91,123.01296
74,1674656700000,22593.86,22593.86,22554.45,22564.87,386.73202
75,1674656760000,22564.88,22568.93,22553.24,22557.19,286.33826
76,1674656820000,22557.19,22574.86,22556.63,22572.74,194.19243
77,1674656880000,22571.64,22587.46,22567.54,22569.99,216.35391
78,1674656940000,22569.68,22570.57,22555.0,22561.95,202.58231
79,1674657000000,22561.19,22570.79,22519.96,22525.43,662.70779
80,1674657060000,22525.66,22564.07,22513.94,22556.71,580.94313
81,1674657120000,22557.6,22557.61,22506.66,22509.7,505.74248
82,1674657180000,22509.2,22539.0,22497.63,22526.06,675.97634
