unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1674604800,2023-01-25 00:00:00,AAVE/BTC,0.00365661,0.00365661,0.00365661,0.00365661,0.00000000,0.0
1674518400,2023-01-24 00:00:00,AAVE/BTC,0.00365661,0.00365661,0.00365661,0.00365661,0.05306997,0.0001940561830017
1674432000,2023-01-23 00:00:00,AAVE/BTC,0.00376861,0.00376861,0.00376861,0.00376861,0.05148006,0.0001940082689166
1674345600,2023-01-22 00:00:00,AAVE/BTC,0.00388500,0.00388500,0.00388500,0.00388500,0.59459459,0.0023099999821500003
1674259200,2023-01-21 00:00:00,AAVE/BTC,0.00370000,0.00370000,0.00368281,0.00368281,8.59459459,0.031652258901997896
1674172800,2023-01-20 00:00:00,AAVE/BTC,0.00395659,0.00395659,0.00390444,0.00390691,6.48170120,0.025323423235292002
1674086400.0,2023-01-19 00:00:00,AAVE/BTC,0.00396107,0.00396107,0.00396107,0.00396107,0.00000000,0.0
1674086400,2023-01-19 00:00:00,AAVE/BTC,0.00376481,0.00376481,0.00376481,0.00376481,0.05049141,0.0001900905652821
1674000000.0,2023-01-18 00:00:00,AAVE/BTC,0.00416932,0.00416932,0.00416932,0.00416932,0.00000000,0.0
1674000000,2023-01-18 00:00:00,AAVE/BTC,0.00395681,0.00399261,0.00395681,0.00396107,15.14693504,0.0599980699788928
1673913600.0,2023-01-17 00:00:00,AAVE/BTC,0.00379239,0.00379239,0.00379239,0.00379239,0.00000000,0.0
1673913600,2023-01-17 00:00:00,AAVE/BTC,0.00396230,0.00419147,0.00396230,0.00416932,4.53107395,0.018891497241213997
1673827200.0,2023-01-16 00:00:00,AAVE/BTC,0.00378714,0.00378714,0.00378714,0.00378714,0.00000000,0.0
1673827200,2023-01-16 00:00:00,AAVE/BTC,0.00373562,0.00379239,0.00373562,0.00379239,8.05410000,0.030544288299
1673740800.0,2023-01-15 00:00:00,AAVE/BTC,0.00361245,0.00361245,0.00361245,0.00361245,2.24748131,0.0081189138583095
1673740800,2023-01-15 00:00:00,AAVE/BTC,0.00361245,0.00395000,0.00361245,0.00378714,25.03283097,0.0948028354797258
1673654400.0,2023-01-14 00:00:00,AAVE/BTC,0.00372173,0.00372173,0.00372173,0.00372173,0.00000000,0.0
1673654400,2023-01-14 00:00:00,AAVE/BTC,0.00356295,0.00382813,0.00356295,0.00371685,268.30928311,0.9972653589274035
1673568000.0,2023-01-13 00:00:00,AAVE/BTC,0.00361615,0.00361615,0.00361615,0.00361615,0.00000000,0.0
1673568000,2023-01-13 00:00:00,AAVE/BTC,0.00354920,0.00372173,0.00354920,0.00372173,3.54881087,0.0132077158792051
1673481600.0,2023-01-12 00:00:00,AAVE/BTC,0.00352521,0.00352521,0.00352521,0.00352521,0.00000000,0.0
1673481600,2023-01-12 00:00:00,AAVE/BTC,0.00355000,0.00371664,0.00355000,0.00361615,65.56003416,0.237074917527684
1673395200.0,2023-01-11 00:00:00,AAVE/BTC,0.00357519,0.00357519,0.00357519,0.00357519,0.00000000,0.0
1673395200,2023-01-11 00:00:00,AAVE/BTC,0.00353915,0.00353915,0.00352521,0.00352521,10.05594109,0.0354493040898789
1673308800,2023-01-10 00:00:00,AAVE/BTC,0.00361235,0.00361235,0.00357005,0.00357519,10.05524221,0.035949401396769894
1673222400,2023-01-09 00:00:00,AAVE/BTC,0.00349107,0.00362042,0.00349107,0.00362042,6.01712643,0.021784524869700603
1673136000,2023-01-08 00:00:00,AAVE/BTC,0.00329018,0.00348289,0.00329018,0.00348289,0.35519779,0.0012371148308131
1673049600,2023-01-07 00:00:00,AAVE/BTC,0.00325000,0.00325000,0.00325000,0.00325000,0.00000000,0.0
1672963200,2023-01-06 00:00:00,AAVE/BTC,0.00329424,0.00329424,0.00325000,0.00325000,222.47659611,0.7230489373575
1672876800,2023-01-05 00:00:00,AAVE/BTC,0.00329459,0.00329459,0.00329459,0.00329459,0.05903136,0.0001944841283424
1672790400,2023-01-04 00:00:00,AAVE/BTC,0.00329379,0.00342862,0.00327990,0.00338803,232.86432317,0.7889513128296551
1672704000,2023-01-03 00:00:00,AAVE/BTC,0.00312235,0.00312235,0.00312235,0.00312235,0.00000000,0.0
1672617600,2023-01-02 00:00:00,AAVE/BTC,0.00312235,0.00312235,0.00312235,0.00312235,0.00000000,0.0
1672531200,2023-01-01 00:00:00,AAVE/BTC,0.00313694,0.00313694,0.00312235,0.00312235,0.16239199,0.0005070446299765
